DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Grey,IND,Independent,CARMODY,Richard
Deakin,LDP,Liberal Democrats,CARR,Harrison
Boothby,GRN,The Greens,CARTER,Jeremy
Burt,ON,Pauline Hanson's One Nation,CARTER,Travis
Lyne,ON,Pauline Hanson's One Nation,CASHMAN,Josephine
Burt,CYA,Australian Federation Party,CASTLE,Michele
Berowra,IND,Independent,CASWELL,Benjamin
Rankin,ALP,Australian Labor Party,CHALMERS,Jim
Spence,ON,Pauline Hanson's One Nation,CHAMPION,Linda
Griffith,GRN,Queensland Greens,CHANDLER-MATHER,Max
Curtin,IND,Independent,CHANEY,Kate
Tangney,ON,Pauline Hanson's One Nation,CHANG,Tshung-Hui
Mayo,AJP,Animal Justice Party,CHAPLIN,Padma
Gellibrand,VNS,Victorian Socialists,CHARLES,Andrew
Parramatta,ALP,Labor,CHARLTON,Andrew
Jagajaga,GVIC,The Greens,CHASE,Liz
Cowper,LDP,Liberal Democrats,CHASELING,Simon
Menzies,LDP,Liberal Democrats,CHEESMAN,Greg
Gippsland,NP,The Nationals,CHESTER,Darren
Bendigo,ALP,Australian Labor Party,CHESTERS,Lisa
Bean,IND,Independent,CHRISTIE,Jamie
Nicholls,GVIC,The Greens,CHRISTOE,Ian
Parramatta,IND,Independent,CHRISTOU,Steve
Sydney,SAL,Socialist Alliance,CHUTER,Andrew
Riverina,IND,Independent,CIAVARELLA,Darren
Petrie,AJP,Animal Justice Party,CICCHITTI,Chris
Fairfax,ON,Pauline Hanson's One Nation,CIVITARESE,Nikki
Blaxland,ALP,Labor,CLARE,Jason
Herbert,IND,Independent,CLARE,Steven
Boothby,UAPP,United Australia Party,CLARK,Graeme
Gellibrand,LP,Liberal,CLARK,Monica
Hasluck,WAP,WESTERN AUSTRALIA PARTY,CLARK,Pauline
Berowra,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",CLARKE,Brendan Michael
Rankin,AJP,Animal Justice Party,CLARKE,Suzanne
Newcastle,ALP,Labor,CLAYDON,Sharon
Clark,LP,Liberal,COATS,Will
