bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
Autism Spectrum Australia (Aspect),off_campaign,20,9640.0,10460.0,1795.0,0.17160611854684513,-21.074771230401588,0.14337240686689887
BPH ENERGY LTD,ongoing,241,60929.5,1722.25,59821.75,34.734649441138046,8.871778727414533,0.6526060422419125
Bank Australia,ongoing,461,263669.5,81531.0,187905.91666666666,2.3047174285445617,7.3748090428977084,0.5672457316721297
Baptist World Aid Australia,election_only,164,18418.0,14867.166666666666,3799.75,0.25557996928354426,-5.1945739247114675,0.4322110972512977
Barnardos Australia,ongoing,92,61754.0,10851.666666666668,41602.5,3.833742896636461,9.653257378890867,0.6036119270355507
Barry O'Rourke MP,ongoing,51,3324.5,1458.0,1982.6666666666667,1.3598536808413353,-0.8581652918869541,0.558820206387296
Baw Baw Shire Council,ongoing,24,2088.0,998.2083333333334,1143.5,1.145552448136244,0.528297114842124,0.6289785485423702
Beau Kane Brandon Lee Brug,ongoing,76,4762.0,1381.875,3483.25,2.520669380370873,5.340055129988585,0.5151697817867751
Ben & Jerry's,transitional,27,111386.5,63140.5,48246.0,0.764105447375298,6.421276045891685,0.46223572923958517
Ben Carroll MP,ongoing,36,3282.0,388.75,2714.2083333333335,6.981886387995713,16.871472500321314,0.2929356231446978
Benjamin  Denis Roberts Yates,off_campaign,60,2970.0,0.0,2970.0,,18.002380952380953,0.3076007326007326
Benjamin John Davison,ongoing,123,14388.5,4718.541666666667,10244.458333333332,2.171106892136518,0.26662831810529464,0.7526072248053134
Benjamin John Dudman,election_only,26,2387.0,0.0,2387.0,,11.071428571428571,0.5741758241758241
Bernard Anthony Purcell,off_campaign,79,5410.5,6359.375,0.0,0.0,-24.966688662688668,0.045121149121149076
Berry Street,ongoing,34,3383.0,1948.2083333333333,1638.5,0.841029150715401,-4.607676822660387,0.16455469809868575
Beyond Zero Emissions,election_only,33,21783.5,21080.625,349.5,0.01657920483856622,-8.542535666164202,0.6441102250856043
Bill Tilley MP,ongoing,232,13184.0,6878.375,6102.833333333333,0.8872492897426112,4.614831053863115,0.3062836075492191
Black Inc.,ongoing,23,1938.5,770.5,1193.0,1.5483452303698897,8.909536541889482,0.5759566064187913
Bob Brown Foundation,ongoing,51,3924.5,1438.1666666666667,2424.125,1.6855661142658476,8.327787752460065,0.4518235095720396
Brad Battin MP,ongoing,191,26554.5,1867.5833333333333,24716.124999999996,13.234282272098522,15.274894689125524,0.3626656443011698
Brad Rowswell MP - Member for Sandringham,ongoing,68,8766.0,202.125,8485.166666666666,41.97979797979798,18.817376915513563,0.2570390519813767
Bradley R Hearn,off_campaign,29,1535.5,0.0,1543.75,,18.662232504337766,0.2824567335498509
Brent Menzies Fleeton,election_only,33,2833.5,2279.75,623.875,0.2736593924772453,-11.347201466147613,0.43821572976939116
Brent Mickelberg MP - Member for Buderim,ongoing,40,2180.0,941.5,1304.5,1.385554965480616,2.070275728278845,0.6362192738250174
Brett Milton Treby,election_only,21,2539.5,0.0,2539.5,,11.198590836216354,0.5692849678378326
Bridget Vallence MP,ongoing,95,7402.5,1419.0,6107.583333333334,4.304146112285648,11.495360096673219,0.45658252331266874
Bridging the Gap Foundation,ongoing,30,7085.0,450.625,5531.833333333334,12.275913083680075,21.845587247637685,0.07894359799930949
Brighter Directions,transitional,231,35034.5,23724.5,10380.0,0.4375223924634871,-0.831733558411856,0.787736915256744
Brisbane Flight Path Community Alliance,election_only,46,6777.0,6578.5,0.0,0.0,-7.1568258070120185,0.7247374689610762
Bruce Francis Schaafsma,ongoing,34,2283.0,660.0,1532.4166666666665,2.321843434343434,5.803084767298535,0.7348965318766528
CARE Australia,transitional,360,93370.0,60798.25000000001,33121.0,0.5447689695015893,-3.0916178373595242,0.5493817213273021
CBM Australia,off_campaign,112,17044.0,17672.0,0.0,0.0,-17.540769700252216,0.3264723654853521
CCHR Australia,ongoing,27,13736.5,5967.25,7998.125,1.340336838577234,1.7081698230700673,0.6254598180566872
CFMEU Manufacturing Division,transitional,58,3871.0,3091.7083333333335,962.125,0.3111952669101494,-8.453976541897442,0.39400345984648905
CFMEU Mining & Energy,election_only,96,62152.0,57503.166666666664,1585.0,0.027563699390468353,-4.178596109204043,0.801227090057482
CFMEU Vic-Tas,off_campaign,30,1885.0,0.0,1880.7916666666667,,16.59145876388172,0.36264210987842443
CHOICE,election_only,93,10403.5,10403.5,0.0,0.0,-10.536196609657464,0.5947616688593282
CPA Australia,ongoing,63,18118.5,6678.541666666667,11435.75,1.7123124434600867,5.1770155832624924,0.549500433665331
CS Energy,transitional,68,3366.0,2301.75,1080.75,0.46953405017921146,-3.6203832752613248,0.5505427499329939
Caitlin Mary Collins,ongoing,24,1988.0,1058.3333333333333,1033.4583333333335,0.9764960629921262,-3.8344179772978846,0.47602524957463904
Cancer Council Australia ,election_only,20,72190.0,0.0,72190.0,,4.94919953297845,0.8096461718085212
Cancer Council SA,transitional,232,81084.0,57622.791666666664,24785.625,0.4301357897301921,-8.402869303542882,0.5112639248958254
Canva,election_only,24,53288.0,53288.0,0.0,0.0,-11.292126879275955,0.5656874277201555
Cape York Institute,off_campaign,157,41171.5,0.0,40988.166666666664,,17.2863089695458,0.33528034804470275
Cape York Institute ,election_only,28,4786.0,0.0,4877.25,,9.151673586549798,0.6480125543634693
Carolyn Power MP,election_only,60,8970.0,8970.0,0.0,0.0,-12.83853320592451,0.5062102613105958
Catherine Angelique Zeiger,ongoing,45,2227.5,1027.125,1142.625,1.1124497991967872,1.4682237914177079,0.5304391426064431
Catholic Education Tasmania,off_campaign,63,5318.5,0.0,5248.375,,19.06283577569928,0.26705584172180974
Centre For Public Integrity,transitional,27,5536.5,3045.2916666666665,1629.0,0.5349241315144965,-1.9213135170722329,0.6076972642717899
Chad Robert Cambell Buchanan,ongoing,80,4260.0,990.0,3270.0,3.303030303030303,11.606136820925553,0.2798444513233246
Charles Christopher Guy Hunter,off_campaign,32,1584.0,2087.25,0.0,0.0,-25.465273856578207,0.030339225991399866
Chris Crabbe,off_campaign,37,1831.5,0.0,1831.5,,20.245173745173737,0.22133947133947138
Christian Medical and Dental Fellowship of Australia,ongoing,55,11922.5,4895.5,6543.5,1.3366356858339292,-1.7927453698500122,0.6900758346470385
Christian Schools Alliance,election_only,63,19618.5,18537.416666666668,899.0,0.04849650931224685,-2.3988554866631677,0.8800351262760744
Christopher John Gazenbeek,ongoing,22,3989.0,1979.125,1747.5,0.8829659571780458,-1.7924283589932803,0.5615874359207804
Christopher Phillip Jones,election_only,42,2179.0,2179.0,0.0,0.0,-12.146594112633581,0.532823303360247
Chronic Pain Australia,election_only,51,3124.5,3343.625,0.0,0.0,-2.3676559337331704,0.9089363102410318
Chuffed.org,election_only,290,204755.0,169712.87499999997,34902.708333333336,0.20565739831661764,-10.693799127038975,0.4716314106963115
Cindy McLeish MP,ongoing,237,15631.5,6747.125,9088.0,1.3469440687700316,1.0605502911136744,0.43168364146648186
