bylines,mean_prob_outside,mean_prob_inside,shift,total_spend,n_ads,mean_election_prob_weighted
Children's Ground,0.7043489576681635,,,1097.0,6,0.6602999458984451
Ching Wong,0.36890205582167207,,,99.0,2,0.36890205582167207
Chloe Smith for Stanmore-Damun Ward,0.750214643302967,,,148.5,3,0.750214643302967
Chloe T Mackallah,0.6437215852853548,,,198.0,4,0.6437215852853548
Chris Crabbe,0.6631839036170499,,,1831.5,37,0.6631839036170499
Chris Gazenbeek - SDA Union Queensland,0.6420678118688194,,,1598.0,4,0.6420678118688194
Chris Minns MP,0.5944431649363678,,,2643.5,13,0.6401065215288094
Chris Picton MP,0.7777701445673054,,,148.5,3,0.7777701445673054
Chris Tallentire MLA,0.2500894289431911,,,49.5,1,0.2500894289431911
Chris Whiting MP,0.1894949177027435,0.3775445765796726,0.18804965887692912,346.5,7,0.2432233916675804
Christel L Mex,0.4744950985956423,,,396.0,8,0.47449509859564226
Christian Camuglia,0.4585502642068909,,,148.5,3,0.4585502642068909
Christian John Mauri,0.32930566960461455,,,198.0,4,0.32930566960461455
Christian Medical and Dental Fellowship of Australia,0.3584686609260476,0.3152504683421984,-0.043218192583849235,11922.5,55,0.28366475996404683
Christian Schools Alliance,0.760522602849204,0.7186506696175888,-0.0418719332316152,19618.5,63,0.7619952574360094
Christine Couzens MP,0.5764204381479421,0.3934237418017207,-0.1829966963462214,2443.5,13,0.5564965052039653
Christine Tonkin MLA,0.44175796041211646,0.5711332846757025,0.129375324263586,297.0,6,0.48488306849997853
Christopher James Steel,0.2116754487157074,,,696.0,8,0.16062159610345414
Christopher John Gazenbeek,0.14287215273671403,0.4997751836693113,0.35690303093259723,3989.0,22,0.19708397077223155
Christopher Jon Baguley,0.7007357488896111,,,99.0,2,0.7007357488896112
Christopher Phillip Jones,0.46830785295307176,,,2179.0,42,0.48664940378903404
Christopher Raymond Sutton,0.5951123523056541,,,298.0,4,0.6274980187998725
Christopher Ride,0.7071359854382552,,,941.5,17,0.7071359854382553
Chronic Pain Australia,0.3181972293072266,0.0240770672624461,-0.29412016204478053,3124.5,51,0.043880504110317305
Chuffed.org,0.33460683900419974,0.3099976914208132,-0.02460914758338656,204755.0,290,0.3656593424726522
Chuffed.org Pty Ltd,0.9966033389422172,,,49.5,1,0.9966033389422172
Church And State,0.22499001093683402,,,249.5,1,0.22499001093683402
Cindy McLeish MP,0.3713229437270896,0.20823940419695552,-0.1630835395301341,15631.5,237,0.34413714746183643
Cindy McLeish MP ,0.3923759354980174,0.41498588874280706,0.02260995324478965,5098.5,103,0.3978637882273353
City of Adelaide,0.5875589273909374,0.05473393644154784,-0.5328249909493896,13741.5,17,0.5505755493397481
City of Burnside,0.6198162330151638,,,148.5,3,0.6198162330151638
City of Canning,0.06016633652293186,,,546.5,7,0.05588029015454783
City of Gold Coast,0.31920394013203435,,,398.0,4,0.299091688344705
City of Greater Geelong,0.03403674904310923,0.0003281128859322635,-0.033708636157176966,944.5,11,0.04054802757646641
City of Greater Geraldton,0.399692333837097,,,248.5,3,0.39045128981190513
City of Kingston,0.10047858664724663,,,149.5,1,0.10047858664724663
City of Kwinana,0.38701007173195323,,,49.5,1,0.38701007173195323
City of Marion,0.8146935224860926,,,746.5,7,0.7930559416487303
City of Melbourne,0.1353627083883212,0.22869614351562872,0.09333343512730752,2445.5,9,0.17818091788354945
City of Melton,0.7417263609387368,,,99.0,2,0.7417263609387367
City of Melville,0.25771845968310225,0.3034847024049404,0.04576624272183816,4855.0,90,0.26166282734898166
City of Monash,0.5957530632702278,,,448.5,3,0.6034332186419605
City of Onkaparinga,0.1446445788958026,,,298.0,4,0.28898184109159836
City of Parramatta,0.23850335744930373,0.5889784254642728,0.3504750680149691,9103.5,93,0.28242407257268415
City of Port Phillip,0.5890871899949831,,,249.5,1,0.5890871899949831
City of Stirling,0.8894569352826739,,,1248.5,3,0.9337272744871983
City of Swan,0.610440795653687,0.2657291127598914,-0.3447116828937956,1946.5,7,0.7595636482991543
City of Sydney,0.2137031713137004,,,7786.0,28,0.26429570885839954
City of Tea Tree Gully,0.37929791056283957,,,1098.0,4,0.27055191217489755
Claire Rechberger,0.13096942714944393,,,497.0,6,0.0802292794596961
Class Actions Australia,0.9566733385050901,,,7930.5,39,0.9184905913742766
Clayton Stuart Bauman,0.64018445312722,,,247.5,5,0.64018445312722
Clement A Newton-Brown,0.029529216317389695,,,149.5,1,0.029529216317389695
Clifford Hayes MP,,0.24178612124649412,,149.5,1,0.2417861212464941
Climate 200,0.7751198302755449,0.8470311871198113,0.07191135684426642,629674.5,1351,0.7750329141703275
Climate for Change,0.8231247998262043,,,1096.0,8,0.8300015961275429
Clint Marsh,0.564578549703428,,,748.5,3,0.6707239651671767
Clinton Robert De Young,0.9126039730011094,,,49.5,1,0.9126039730011094
Clinton de Young,0.647171694136643,,,2534.5,31,0.7753962240955438
Clover Moore Independent Team,0.9193731430613443,,,6183.0,34,0.9305853788200565
Co.As.It.,0.5566237980844504,,,49.5,1,0.5566237980844504
CoGC Pro Choice Alliance,0.47943079461247395,,,99.0,2,0.479430794612474
Coalition Against Duck Shooting,0.2025952575729816,,,9895.0,10,0.20259525757298158
Coalition for the Protection of Greyhounds,0.08371480340473969,0.18664836703598475,0.10293356363124506,348.5,3,0.14304427734516845
Coastal Waste Warriors Inc,0.0004987986746356476,0.0004987986746356476,0.0,699.0,2,0.0004987986746356476
Coca-Cola South Pacific,0.03584103925372467,,,48048.0,4,0.03107546069440844
Cody James Davies,0.49483726385749116,0.2434831647144587,-0.2513540991430325,3613.5,73,0.46729160915688484
Colin Brooks,0.4091080877761885,0.4102911092044211,0.0011830214282325668,3342.5,15,0.6173782235904781
Colin John Francis Ebsworth,0.19971131486142893,0.12782306097462623,-0.0718882538868027,644.5,11,0.16300126466815656
Colleen Mary Hughson,0.45673174634338254,0.1803395282369854,-0.27639221810639714,99.0,2,0.31853563729018397
Colliers Toowoomba,0.436367362550043,0.2102411719251816,-0.2261261906248614,2230.5,39,0.349423505619432
Commissioner for Children and Young People SA,0.20802211869317092,,,398.0,4,0.11075349470921624
Committee for Greater Frankston,0.8252683063915741,,,948.5,3,0.795015231177359
Committee for Mornington Peninsula,,0.5036690420277312,,99.0,2,0.5036690420277313
Comms Declare,0.03480687494575696,,,599.0,2,0.03480687494575696
Comms Declare Inc,0.37805302261394474,,,11304.0,192,0.3740079761439911
Communications Electrical and Plumbing Union of Tasmania,,0.8641539199636293,,198.0,4,0.8641539199636293
Communities Against The Tarago Incinerator Inc,0.06162370615165755,,,198.0,4,0.06162370615165754
Communities for Clean Air,0.4411869733237128,,,99.0,2,0.4411869733237128
Community & Public Sector Union,0.5281498065176174,,,448.5,3,0.37126945119165033
Community Action For Rainbow Rights (CARR),0.5409590210767559,,,745.5,9,0.3797337538077049
Community Canada Bay,0.5802254193220517,,,544.5,11,0.5802254193220516
Community Council for Australia,,0.059580235711779644,,498.0,4,0.1151671305448361
Community First Team,0.695557418938301,,,248.5,3,0.7184426058518998
Community Power Agency,0.7098340314007858,,,548.5,3,0.812402431430216
Community Union Defence League,0.49488094156410567,,,99.0,2,0.49488094156410567
