bylines,mean_prob_outside,mean_prob_inside,shift,total_spend,n_ads,mean_election_prob_weighted
Daniel Thomas Byrne,0.5841010267591482,,,447.5,5,0.6445764674219522
Daniel Thomas Myles,0.61894604102157,,,897.0,6,0.6317840409315945
Daniel Thomas Sumpton,0.37711450029052274,,,49.5,1,0.37711450029052274
Daniela De Martino,0.47570941862597665,,,6285.0,30,0.6179107880642332
Danilo Cruz Peralta,0.6783996797131578,,,297.0,6,0.678399679713158
Danny Pearson MP for Essendon,0.307547296516902,0.5701558774341293,0.26260858091722733,24353.5,393,0.3439920266055422
Darcy Byrne,0.7610617248636791,,,696.0,8,0.7283303572188615
Darrell John Hendrik Tiemens,0.9111072688432682,,,49.5,1,0.9111072688432682
Darren Lehg West,0.5908433114732579,,,249.5,1,0.5908433114732579
Darren Natale ,0.8590599669017498,,,1195.0,10,0.9205578428027523
Darren Randolph Rodrigo,0.9843487890455694,,,948.5,3,0.9843487890455693
Darren Ross Mccubbin,0.9652590262882905,,,99.0,2,0.9652590262882907
Darriea Jean Turley,0.017292906449863744,,,547.5,5,0.015847629666706806
Dave Fidler,0.958545008454914,,,297.0,6,0.9585450084549139
Dave Layzell MP,0.5884229978812986,0.0033152138084399096,-0.5851077840728587,198.0,4,0.442146051863084
Dave Wild,0.989413588120513,,,199.0,2,0.9870576440857155
David Adler,0.34878594584677913,0.2750725256110361,-0.07371342023574301,3613.5,73,0.3326295797677122
David Andrew Fulton,0.021299527307251636,0.9999705171904968,0.9786709898832452,247.5,5,0.41276792326054973
David Bruce Smith,0.061002770724587596,,,49.5,1,0.061002770724587596
David Carl Janetzki,0.6094069455895054,0.7076975731981779,0.09829062760867258,1042.5,15,0.6524053686922673
David Charles Mcquillan,0.686639196207247,,,497.0,6,0.7849835114673506
David Crisafulli MP,0.6369202022427499,0.3777291608888667,-0.2591910413538832,10463.0,74,0.5807305829601266
David Davis MP,0.3010535879616011,0.18798688645053932,-0.11306670151106177,5100.5,99,0.2877785317114326
David Edward Flint,0.47797048393310165,,,396.0,8,0.47797048393310165
David Gonzalez,0.2210890382443968,,,2580.0,40,0.2382525629186302
David Hodgett MP,0.24628648514353849,0.03474868809657564,-0.21153779704696285,941.5,17,0.1881633399066443
David Hood,0.9841182357505337,,,297.0,6,0.9841182357505338
David J Southwick,0.495345657177351,0.3121682080982788,-0.18317744907907224,43886.0,228,0.4221543948887669
David James Mckenzie Ferguson,0.4812146488270518,,,198.0,4,0.4812146488270517
David James Murtagh,0.09701152567240601,,,49.5,1,0.09701152567240601
David James Speirs,0.30340727193405453,,,846.5,7,0.42582359017527316
David John Hunter,0.43883307506677066,,,297.0,6,0.43883307506677066
David Leslie Fahey,0.6384794028856149,,,148.5,3,0.6384794028856149
David Mark Bain,0.42942348025477645,,,544.5,11,0.42942348025477645
David Michael Tilley,0.5288839148571707,,,747.5,5,0.5448248842038783
David Morris MP,0.7669267299387004,,,49.5,1,0.7669267299387003
David Nickson,0.1570957834590691,,,2498.0,4,0.13359460173914242
David O'Byrne MP,0.530606132539836,0.36823411805762074,-0.16237201448221528,792.0,16,0.4900131289192821
David Richmond Porter,0.5880186892903572,,,198.0,4,0.5880186892903573
David Robinson,0.8613345362613457,,,49.5,1,0.8613345362613457
David Scaife MLA,0.33437193566105705,0.004602848241960333,-0.3297690874190967,1683.0,34,0.3246728448546131
David Smith MP,0.49251052222936753,0.7910900414867253,0.2985795192573578,2939.5,21,0.5999669738141901
David Utting,0.022939301931354728,,,2239.5,21,0.016365696058818654
Day of AI,0.049382837459760257,0.02610639158799795,-0.023276445871762308,2376.0,48,0.0406541702578494
Day of AI Australia ,0.018660208903245046,,,49.5,1,0.018660208903245046
Daylight Saving Party,0.11290774321610073,,,445.5,9,0.11290774321610073
Daylight Saving Party WA,0.015072318937788345,,,346.5,7,0.015072318937788346
Deakin Residents Association,0.4139336726413503,,,148.5,3,0.4139336726413503
Dean A Hurlston,0.9497812413229526,,,49.5,1,0.9497812413229526
Dean A Rossiter,0.30274344607432035,,,1749.5,1,0.30274344607432035
Dean Andrew Harriss,,0.6754326946479029,,148.5,3,0.6754326946479029
Dean Geoffrey Young,0.5025602474975953,,,199.0,2,0.5025602474975953
Dean Matthew John Teasdale,0.7484203314372657,,,198.0,4,0.7484203314372658
Dean Michael Gallagher,0.9944594091136812,0.9944594091136812,0.0,148.5,3,0.9944594091136812
Dean Winter MP,0.3308310722879978,,,49.5,1,0.3308310722879978
Deb Brewer for Pembroke,0.06117475706371889,,,49.5,1,0.06117475706371889
Debra Joyce Thurley,0.20083203268419428,,,545.5,9,0.17918994961127904
Defence Force Welfare Association - National Inc,,0.9645129619052187,,99.0,2,0.9645129619052187
Delia L Burrage,0.9999953617833944,,,49.5,1,0.9999953617833944
Demeine Elizabeth Winikerei,0.14617140347407986,,,49.5,1,0.14617140347407986
Demi E Mcdonald,0.1751444336519511,,,4043.5,13,0.6316352784852658
Democracy in Colour,0.43847695815276083,0.6774700106754468,0.23899305252268593,1395.0,10,0.43663513755143896
Democratic Labour Party,0.5995906156816542,,,2584.0,32,0.6461448860456759
Democratic Labour Party of South Australia,0.981200406329937,,,49.5,1,0.981200406329937
Democrats Abroad,0.7394643543193221,,,5357.0,86,0.7392593179669433
Democrats Abroad Australia,0.9717131100362,0.9445222803322804,-0.027190829703919617,2825.5,49,0.97177777745206
Dept of Communities and Justice NSW - safer together,0.0004644395750222907,,,99.0,2,0.0004644395750222907
Dept of Communities and Justice NSW - stronger together,0.26076797673759944,,,3191.0,18,0.24221131902704934
Desert Blue Connect,8.252163714694838e-06,,,49.5,1,8.252163714694838e-06
Desmond Matthew Kennedy,0.8442057525313018,,,397.0,6,0.8400012743863634
Despina C O'Connor,0.2650899638815203,,,148.5,3,0.2650899638815203
Destiny Rescue,0.5726152712363097,0.5933775388638425,0.02076226762753275,201487.0,326,0.8098788295020569
Di Farmer,0.06588148605829686,0.1065746836362961,0.040693197577999246,1542.5,15,0.052486844981942324
Diabetes NSW & ACT,0.007016728576529574,,,49.5,1,0.007016728576529574
Dianah Charmaine Walter,0.43584890698811807,,,841.5,17,0.43584890698811807
Dianne Elizabeth Fraser,0.9809725894404919,,,396.0,8,0.9809725894404919
Digital Marketing AOK,0.9235456570084706,,,847.5,5,0.9526350718221782
Dirk Kelly,,0.5016736681781687,,148.5,3,0.5016736681781687
Dirty Clean Food,0.5170348601430407,,,17468.0,64,0.5214639341254785
Disability Housing Australia ,0.5775035835806698,0.3950261586736531,-0.18247742490701668,148.5,3,0.5166777752783309
Disability Intermediaries Australia,0.8891607870724488,,,199.0,2,0.9422607222229815
Disability Resources Centre,0.5567913904073859,,,99.0,2,0.5567913904073859
DocPlay,0.3137536448337417,0.07173291502257007,-0.24202072981117162,16714.5,71,0.3333406936259921
Doctors of ,0.7271977072129695,0.999989847410714,0.27279214019774445,1096.0,8,0.872313023305118
Domenico Gelonese,0.49366901952539427,,,446.5,7,0.5775040199772008
Don Brown,0.7991149842335092,,,99.0,2,0.7991149842335094
Don Farrell,0.9940088788686895,0.7190454337282859,-0.2749634451404036,3092.0,16,0.7473412098075339
Donald Thomas Punch,0.011451169237933434,,,49.5,1,0.011451169237933432
Donna Evelyn Mary Faragher,0.6733786601443988,,,347.5,5,0.7341733497098986
Donna Frances Reeman Davis,0.14983523058262013,0.2376355270194227,0.08780029643680257,1683.0,34,0.157582315562338
Donna Lynne Mackinnon,0.6893252575364833,,,99.0,2,0.6893252575364833
Dorlene Abou-Haidar,0.09965478808480754,,,49.5,1,0.09965478808480754
Double It For Nature,0.16319393065553753,0.24486049953301808,0.08166656887748056,3986.0,28,0.1900631807062378
Douglas John Curran,0.5465024367091252,,,297.0,6,0.5465024367091253
Douglas Lain Reckord,0.9797395688958421,,,149.5,1,0.9797395688958421
Dr Christian Rowan MP,0.31742340245253736,0.24805472345769844,-0.06936867899483892,2972.0,56,0.3295656997060504
Dr David Honey MLA,0.4481193969233696,0.5434099359909479,0.09529053906757828,17344.0,112,0.5133071013340993
Dr David Honey MLA ,0.47248650035150214,0.48463534794567265,0.012148847594170509,25109.0,82,0.5890074040239414
Dr Marjorie O'Neill MP,0.10686468411902457,,,247.5,5,0.10686468411902457
"Dr Rachel David, CEO, Private Healthcare Australia",0.8366118928185845,,,16893.0,214,0.8117531528636283
Dr Richard Harvey MP - State Member for Newland,0.4046273103023488,,,1991.0,18,0.3567705191334981
Dr Tim Read,0.7184655045530692,,,148.5,3,0.7184655045530692
DrinkWise,,0.07764941828946104,,2548.5,3,0.07764941828946104
Drug Policy Australia,0.13563070681476053,0.0028491351517933882,-0.13278157166296714,1542.5,15,0.013654993859954417
Dying with Dignity NSW,0.44065535120608784,0.5036058823035481,0.06295053109746024,1997.0,6,0.4513794145127513
Dylan P K Styles,,0.3550160954702841,,198.0,4,0.3550160954702842
Dylan Wight,0.3833403633386359,,,1147.5,5,0.31610523750062525
Dyson4Wannon Campaign,0.8166418488693588,0.9310644278505057,0.11442257898114694,9434.5,31,0.9303805707235434
ECSA,0.19944714655754447,,,14241.5,17,0.21513772404011697
ETU - The Electrical Trades Union,0.4843388475782389,,,94591.5,17,0.660039780630122
Eco Electric Solutions Pty Ltd,0.0005454566109478476,0.03514713570334846,0.03460167909240061,742.5,15,0.02822679988486834
Economic Justice Australia,,0.9551264268961888,,198.0,4,0.9551264268961888
Ed Cocks MLA,0.9270439748191986,,,695.0,10,0.7555089537687836
Eddy Jokovich,0.9561190106747629,0.7986029517310692,-0.1575160589436937,198.0,4,0.9167399959388395
Edith Cowan University,0.0004272268528142664,,,99.0,2,0.0004272268528142664
Edmund Rice Centre for Justice & Community Education,0.14970007877064595,,,49.5,1,0.14970007877064595
Edward Stewart Smelt,0.624391933007097,,,49.5,1,0.624391933007097
Edwin Charles Johnstone,0.8003002087267224,,,2090.0,20,0.8519721004759142
Edwin Johnstone,0.7488554455783686,0.36715418295464125,-0.38170126262372733,793.0,14,0.5892294461249152
Electoral Commission of Queensland,0.9911172997552922,,,99.0,2,0.9911172997552921
Electoral Commission of South Australia ,0.6003074052954497,,,61419.0,62,0.705132259924237
Electrical Trades Union,0.3917054987857792,0.4631339676185836,0.0714284688328044,696.0,8,0.3654257134782158
"Electrical Trades Union of Australia, Victorian Branch",0.3047719169152188,0.8020411018174454,0.49726918490222655,118130.0,40,0.5474896449622463
Elinor Prevost,0.40372030595814523,,,149.5,1,0.40372030595814523
Elisa Tsounis,0.2120345497316058,,,99.0,2,0.2120345497316058
Elizabeth Ann Virtue,0.9529739293216979,,,398.0,4,0.9639434135139978
Elizabeth Anne Rook,0.4225821051406529,,,148.5,3,0.4225821051406529
Elizabeth Flaherty,0.9646483116538465,,,149.5,1,0.9646483116538465
Elizabeth L Nealy,0.8388405681779132,,,99.0,2,0.8388405681779132
Elizabeth Lee MLA,0.7227261672791964,0.6916747776142156,-0.031051389664980777,696.0,8,0.7049251551005651
Elizabeth Margaret Farrelly,0.38331698689729193,,,247.5,5,0.3833169868972919
Elle Larwood,0.9791441353269469,,,99.0,2,0.979144135326947
Ellen Margaret Avery,0.6952873604490328,,,396.0,8,0.6952873604490328
Ellen Sandell MP,0.39668296050424634,0.3629921463716817,-0.03369081413256464,5619.5,61,0.43438819362547687
Ellie Sefton,0.44264209472334387,,,99.0,2,0.4426420947233439
Elly Bird,0.9752419858544616,,,99.0,2,0.9752419858544615
Emerge Australia,0.7712048869988135,0.5779449184165149,-0.19325996858229866,842.5,15,0.6033011631295636
Emergency Action Alliance Limited,0.2450001159442871,0.08207149472949105,-0.16292862121479607,24136.0,128,0.1712942945225541
Emily Bourke MLC,0.8752447997227967,,,49.5,1,0.8752447997227967
Emily Dimitriadis,0.48202817001975157,0.48070626867339666,-0.0013219013463549034,247.5,5,0.4814994094812096
Emily Hamilton MLA,0.2193191307081773,0.3996937787638812,0.18037464805570388,942.5,15,0.3301573440468572
Emily J Bieber,0.5879536486555508,,,149.5,1,0.5879536486555508
Emily Louise Williams,0.5283786435129919,,,198.0,4,0.5283786435129919
Emily Morgan,0.9667638933674702,,,148.5,3,0.96676389336747
Emma Davidson MLA,0.2965648224513322,,,297.0,6,0.29656482245133214
Emma Dynes,0.998859255915517,,,299.0,2,0.9982869611542036
Emma Vulin,,0.9634795852864894,,349.5,1,0.9634795852864894
Energy Assist Group Pvt Ltd (T/A Solar 4 You),,1.2516636687220917e-05,,149.5,1,1.2516636687220917e-05
Energy Democracy,0.6080626867501348,,,1045.5,9,0.6382840086368711
Engineers Australia,0.3596984109306079,0.4058474627717968,0.04614905184118889,98581.5,237,0.5086273317587275
Engineers Without Borders Australia,0.08326617942440254,0.3769707112662123,0.2937045318418098,644.5,11,0.23112511636765273
Enova Community Energy,0.0743224803748812,6.148851937615163e-07,-0.07432186548968744,2047.5,5,0.017519638707561794
Entain Group Australia ,,0.9400620360540631,,35934.5,31,0.9444450984461465
Enver Erdogan,0.5197068386417159,0.5197068386417159,0.0,2599.0,2,0.5197068386417159
Environment Centre NT,0.22708293513860459,0.0008453260859722089,-0.22623760905263238,2536.5,27,0.17572435771415829
Environment Victoria,0.37095785666438985,0.5553939683931118,0.18443611172872199,34940.5,219,0.2749217161609469
"Environment, Planning and Sustainable Development Directorate",0.8806613668186577,,,49.5,1,0.8806613668186577
Environmental Defenders Office,0.27049522218378824,0.014877864414617385,-0.2556173577691709,35859.0,282,0.10900934331447482
Environmental Justice Australia,0.388824451668006,0.6048678684149179,0.2160434167469119,4919.5,61,0.5240960878422248
Environs Kimberley,0.2916643082198372,,,796.0,8,0.31624386516680386
Epiphany Productions,0.09004750131389239,0.24534449037899883,0.15529698906510644,1386.0,28,0.11223278546605045
Epping Civic Trust,0.0207447942544389,0.9837066902797007,0.9629618960252618,544.5,11,0.3709127564454432
Equality Australia,0.3131764966584207,,,13329.5,41,0.5453958502220377
Equality Tasmania Inc,0.16852216788973992,,,347.5,5,0.12628558091836595
Equitise,0.2189495022879966,,,149.5,1,0.21894950228799656
Ereboni Yazdani,0.9999999614038728,,,49.5,1,0.9999999614038728
Erin Adelaide Hope Watt,0.8981479221041235,0.11116790394366138,-0.7869800181604621,99.0,2,0.5046579130238925
Erin Thompson MP,,0.5774098811075642,,346.5,7,0.5774098811075643
Ethan James White,0.28275280945629633,,,198.0,4,0.28275280945629633
Ethical Mischief,,0.5777018037204602,,596.0,8,0.5001535641592101
Evan Dominic Mulholland,0.6623152173088405,,,695.0,10,0.7051310829712449
Evripides Evripidou,0.9311484668164537,,,1782.0,36,0.9311484668164536
Explorewithtree Pty Ltd,0.550519678977072,,,1046.5,7,0.43466870377712163
Extinction Rebellion South Australia,0.30498582559335324,,,99.0,2,0.30498582559335324
FIONA LOUISE LATHAM-CANNON,0.9253100780068582,,,346.5,7,0.9253100780068579
FOUR PAWS Australia,0.2731821754696418,0.21167516033293804,-0.06150701513670376,21418.0,164,0.2195271939312179
"FUSION: Science, Pirate, Secular, Climate Emergency",0.9726582448636727,0.6878556094253147,-0.28480263543835804,1044.5,11,0.6057283678397642
Fair Agenda,0.8204695847612095,0.9876419947474666,0.16717240998625715,5183.0,34,0.9099874912990102
Fair Business Australia,,0.897250885024153,,1881.0,38,0.8972508850241531
Fair Treatment,0.6906624602850608,,,148.5,3,0.6906624602850608
"Falun Dafa Association of Australia, Victoria Branch Inc",0.001474626755333481,,,746.5,7,0.002711275781201459
Family First Party Australia Ltd,0.5778307848325009,,,29444.0,12,0.5954371686149775
Family First Party Australia Pty Ltd,0.8456385794082371,,,1448.5,3,0.845638579408237
Family First Party SA,0.6123662433740895,,,1790.0,20,0.607016706412159
FamilyVoice Australia,0.4845842486049036,0.5000458128308977,0.01546156422599404,2377.0,46,0.49367556322658973
Fansdonate.com Pty Ltd.,0.34901965647512856,0.016793784754375117,-0.33222587172075346,2475.0,50,0.2759299646965629
Far North Young LNP,0.8203948527396605,,,49.5,1,0.8203948527396604
Farm Animal Rescue,0.030772000913081743,,,49.5,1,0.030772000913081743
Farmers for Climate Action,0.645537994974645,0.5800875019515054,-0.06545049302313966,28057.0,86,0.6584163467810232
Fathima Zainab Farouk,0.00804840427803144,0.00804840427803144,0.0,198.0,4,0.00804840427803144
Federal ICAC Now,,0.8149018084268992,,1588.0,24,0.8126640553015926
Felicity Frederico - State Election Candidate,0.8690998021945017,,,6637.5,25,0.8380016682076504
Felicity Wilson MP,0.724243001563788,,,49.5,1,0.7242430015637881
Felix Ellis,0.49984526326038337,0.47674854948731216,-0.02309671377307121,1147.5,5,0.4432925570574608
Fern Summer,0.38962849639704256,,,247.5,5,0.38962849639704256
Festival of Dangerous Ideas,0.0031824248765837844,0.03656823141891363,0.03338580654232985,39235.0,730,0.003006152021860218
Fight For Tuvalu,0.8425130268591309,,,49.5,1,0.8425130268591309
Filomena Donna Piffaretti,0.9988375349708344,,,149.5,1,0.9988375349708345
Finance Sector Union of Australia,,0.3041462879081953,,99.0,2,0.3041462879081953
Fiona Cunningham,0.39261392484511626,,,947.5,5,0.4927115739377321
Fiona Elizabeth Ziff,0.5996355689577536,,,2094.0,12,0.5568937126727541
Fiona Patten MP,0.27651568991205966,,,793.0,14,0.2539260587362507
Fiona Stuart Simpson,0.5219293662615653,0.6125788902720338,0.09064952401046855,2931.5,37,0.4611852745161052
Fire Brigade Employees Union,0.7757842413480268,,,44277.0,46,0.40070355189439194
First Peoples' Assembly of Victoria,0.41513333016859305,0.34211575852851345,-0.0730175716400796,11386.5,127,0.36035829714455736
First Tier Media,,0.9246010364381342,,17402.5,95,0.9255530558933008
Flinders University,0.3835526928761138,,,18073.0,54,0.3417597368518234
Foodbank WA,0.11460050478116642,,,795.0,10,0.07393822816138762
Fortescue Future Industries Pty Ltd,0.4584669791797196,,,3997.0,6,0.5429002378324862
Frances Ellen Bedford,0.5234607760990856,,,297.0,6,0.5234607760990855
Francis Ryan Maxwell,0.9847068995751788,,,799.0,2,0.9847068995751788
Frank Giuseppe Carbone,0.4399841725637052,0.6649615530971994,0.2249773805334942,398.0,4,0.49594588279691104
Fraser Coast Regional Council,0.6073082653237589,,,99.0,2,0.6073082653237589
Fraser Ellis MP,0.6828292995319855,,,1345.5,9,0.7345803380020927
Fraser John Miller,0.21165443624977592,,,2743.5,13,0.18217367204656915
Free To Shine,0.3616421638482169,0.4925383005765358,0.1308961367283189,2747.5,5,0.45731765949064346
Free the Hounds,0.2852989800394593,0.18550038701060903,-0.09979859302885027,843.5,13,0.2878057039189588
FreeMarketGarden ,0.7405239016724625,,,643.5,13,0.7405239016724626
Friends of Bondi Pavilion,0.7131719862822872,,,199.0,2,0.7578815345446335
Friends of the Earth Australia,0.5575059983428697,,,845.5,9,0.4348126546939315
Friends of the Earth Melbourne,0.8014400121407513,0.7352966926400717,-0.06614331950067964,4592.0,16,0.8329523161120708
Future Super,0.45131184798411617,0.47441207259820956,0.02310022461409339,402754.0,292,0.5077329337899835
GECO,0.9328475457082038,0.9751135866909574,0.04226604098275355,198.0,4,0.9434140559538923
Gabrielle E Sheehan,0.10723718076095316,0.6138637056860525,0.5066265249250994,446.5,7,0.20196940052410303
Gabrielle Williams MP,0.4423607555193502,,,12573.0,54,0.4929201843057888
Gaetano Greco,0.5936547844107687,,,899.0,2,0.4531607978190369
Gail Carnell Kilby,0.5254209043037629,,,297.0,6,0.5254209043037629
Gamba Grass Roots,0.5688798563986075,0.9958269998147783,0.4269471434161708,1140.5,19,0.6630121691307175
Gary James Barnes,0.4328020352339792,,,99.0,2,0.4328020352339792
Gary Maas MP,0.46451220254737496,0.3104983959837325,-0.15401380656364244,19555.5,89,0.4313884333890745
Gascoyne Gateway ,0.3986191654760686,,,148.5,3,0.3986191654760686
Gaurav Patni,0.9640670433690318,,,49.5,1,0.9640670433690318
Gavin John Morris,0.2658745730122416,,,297.0,6,0.26587457301224166
Gayle Tierney MP,0.21976302256254696,,,1546.5,7,0.17496634853560117
Gemma Nichole Jenkin,0.5630901655471818,,,2385.0,30,0.5357296809152957
Gen United,0.5011971884545343,0.6796303103830348,0.17843312192850047,5430.5,39,0.5678224389468844
Gender Awareness Australia,0.42847382236397547,0.07916480962466639,-0.3493090127393091,101195.5,209,0.2112334402251673
Genus Earth Pty Ltd,0.24549390144682187,,,15721.5,257,0.22989456905118585
Geoff Baker MLA,0.25202181792523837,,,198.0,4,0.2520218179252383
Geoffrey Hamilton Acton,,0.31547588261954296,,49.5,1,0.31547588261954296
Geoffrey J Russell,0.659911831916445,,,2749.5,1,0.659911831916445
Geoffrey Lan Pegler,0.5844663011298734,,,49.5,1,0.5844663011298734
Geoffrey Raymond Ballard,0.940711129188036,,,847.5,5,0.9697822701852593
George Georgiou,0.9452700453350068,,,346.5,7,0.945270045335007
George Micheal Gilto,0.413491335398826,,,49.5,1,0.41349133539882593
Georgia Victoria Bounds,0.9861641184495042,0.1433880026245925,-0.8427761158249117,99.0,2,0.5647760605370484
Georgie Crozier MP,0.1765249217606546,0.09903720161921219,-0.07748772014144241,1486.0,28,0.1295490746989695
Georgina Dragwidge,0.6264469059433788,,,3796.0,8,0.8226833794497622
Georgina Reddell Davies,0.6984776742528535,,,198.0,4,0.6984776742528536
Gerard Maley,0.37576276785991275,,,547.5,5,0.4968986792334178
GetUp,0.40142506601949973,,,4543.5,13,0.4181699867050623
GetUp!,0.5935896893783351,0.7745770431032067,0.18098735372487162,203838.0,424,0.7379555029294037
Gideon Chaskiel Rozner,0.3905550255748529,,,49.5,1,0.3905550255748529
Gillian M Aldridge,0.6877551943654105,,,5132.5,35,0.7305974758449821
Gippsland Climate Change Network,0.7838841232728979,,,49.5,1,0.7838841232728978
Give Freedom International,0.003648699093684282,,,1442.5,15,0.0024390474041909626
Give Where You Live Foundation,0.02384641370981566,,,449.5,1,0.02384641370981566
Gladstone Chamber of Commerce & Industry,0.9938004382337399,,,49.5,1,0.9938004382337399
Glen Eira City Council,0.5454517324639354,0.36388147626488704,-0.18157025619904837,1637.5,25,0.5993711274093892
Glen F Jones,6.722142203052783e-05,,,1393.0,14,6.722142203052783e-05
Glencore Australia,0.10694501899084234,,,118642.0,16,0.11474747022340726
Glenn Spear,0.7378792998276167,,,1095.0,10,0.6986167683240324
Glynis Taylor,0.4892412446987818,,,297.0,6,0.48924124469878183
Go Gentle Australia,0.30705079618303655,0.4480505077962466,0.14099971161321007,15187.0,26,0.24547055270568324
Go Neutral,0.3343203228930059,0.502629132286093,0.16830880939308707,24789.5,121,0.3838590829402881
Gold Foundation,0.17611391460497694,,,199.0,2,0.09245604599982597
Good Morning Macarthur,0.0394623574505244,,,299.0,2,0.03419220118523793
Good Neighbours Australia,0.12344905712422395,,,4846.5,7,0.10675260944634893
Good for Manly,0.683787827695025,,,693.0,14,0.6837878276950251
GoodFish: Australia's Sustainable Seafood Guide,,0.1637616998706798,,49.5,1,0.1637616998706798
Goods International Pty Ltd,0.9349805131959646,0.8789159273266763,-0.05606458586928831,12674.0,252,0.9168031452616845
Gordon Rich-Phillips MLC,0.5424962138454046,0.5646691421732116,0.02217292832780704,16457.0,286,0.5765343408306628
Grace Grace MP,0.2536719470252714,,,1536.5,27,0.26079764083507945
"Graduate Student Association, the University of Melbourne",0.9550627076612052,,,49.5,1,0.9550627076612052
Graham Peter George,0.7501393606999426,,,743.5,13,0.7284207854653436
Grata Fund,0.9983159813041219,,,2249.5,1,0.9983159813041219
Great Barrier Reef Foundation,0.11254692570751373,0.06852411393120088,-0.044022811776312856,131101.0,98,0.12050942999512576
Great Plastic Rescue,0.19105602865101107,,,1536.5,27,0.1891545245139721
Greater Shepparton City Council,0.006817042200217505,0.5050198761651257,0.49820283396490816,797.0,6,0.4774093011523121
Green Karma,0.11037173909165188,,,99.0,2,0.11037173909165188
Green Music Australia,,0.593001720958738,,346.5,7,0.5930017209587379
Green Shirts Movement QLD,,0.8552514160617458,,3148.5,3,0.8007085534432989
GreenCollar,0.38512310227406954,,,2343.5,13,0.3020413562627018
Greener,,0.506613942377567,,1188.0,24,0.5066139423775669
Greenfleet,0.23715801554721305,0.41520920772469005,0.178051192177477,70065.0,870,0.2937517724399151
Greening Australia,0.14457074145538,0.31137772505904654,0.16680698360366655,30567.0,266,0.2801275814689598
Greenpeace Australia Pacific,0.18378217876556463,0.1166333373361424,-0.06714884142942223,1556769.5,9661,0.11827781647232785
Greg Hunt MP,0.4301719490934331,,,7980.0,40,0.3964544458666786
Gregory Brian Sword,0.5088146903945853,,,2494.0,12,0.6001925379258614
Gregory Brown,0.5858224842114489,,,2829.5,41,0.5523190741960746
Gregory John Day,0.16091393650647048,0.03857573334600706,-0.12233820316046343,297.0,6,0.12013453545298268
Griffith University,0.3831479611674906,,,149.5,1,0.3831479611674906
Grok Ventures,,0.12625702888392212,,119996.5,7,0.12192550630317081
Groundswell Giving,0.966280330676092,,,2296.0,8,0.8974524878967456
Group H Wagga Wagga City Council,0.5218941407156605,,,1597.0,6,0.4986421120407777
Guardian Labs,0.29277054838784633,0.6570184383425062,0.36424788995465984,6535.5,29,0.2311715061659061
Gurdeep Singh,0.2808315990725233,,,499.0,2,0.2808315990725233
Gurtej Sohal,0.7240098285235558,,,247.5,5,0.7240098285235557
HEATHER LYNN HOLMES-ROSS,0.5711117750185878,,,2088.0,24,0.6906419587564162
HR Assured,0.5451064571112139,,,796.0,8,0.5451064571112139
HSU National,0.7872172423313605,0.968558836874896,0.1813415945435355,35321.5,57,0.8663337882522901
Hadi Saab,0.03951472023741753,,,49.5,1,0.03951472023741753
Hall Payne Lawyers,0.8658232899749749,,,992.0,16,0.867074248026867
Hannah Beazley MLA,0.11901806772124598,0.6952019644125208,0.5761838966912748,793.0,14,0.1400092382399808
Haotian Xiao,0.0934458789995658,,,445.5,9,0.0934458789995658
Harrison Motoring Group,0.5206465437030573,,,1597.0,6,0.5710038413633899
Hawkesbury Matters,0.36887605483816743,0.36774998269432463,-0.0011260721438428045,1139.5,21,0.3823473181729794
Hawthorn Independents,0.6882320831747862,,,30489.0,22,0.7437230714221206
Hayden J O'Connor,0.9494192870761857,,,646.5,7,0.9484182191539637
Haylee Farnden,0.4999862023768286,,,99.0,2,0.4999862023768286
Hayley Edwards,0.12996746951902735,1.8446077652556347e-06,-0.1299656249112621,2031.5,37,0.13604836120273478
Health Australia Party,0.545228047618916,,,495.0,10,0.5452280476189157
Health Care Providers Association,0.6626644248062229,0.7960003433667477,0.13333591856052485,202760.5,79,0.7196725368019642
Health Services Union NSW/ACT/QLD,0.9174928853966102,,,149.5,1,0.9174928853966102
Health Studies Australia,0.9692640072567473,,,6640.5,19,0.9750242402372412
Health Volunteers International,0.45011793798089145,,,148.5,3,0.4501179379808914
Healthy Futures,0.2929845267514797,0.6311945756206903,0.3382100488692106,396.0,8,0.37753703896878227
Healthy North Coast,0.15589885512010393,1.60026717419548e-05,-0.15588285244836197,2046.5,7,0.1368943246114959
Heart and Soul Care,0.0018586231139271492,,,49.5,1,0.0018586231139271492
Heidi Marie Thompson,0.6782037696520533,,,693.0,14,0.6782037696520532
Helen Patricia Hayden,0.4649024624020268,,,99.0,2,0.4649024624020268
Helga G Lemon,0.41152714710068594,,,445.5,9,0.4115271471006859
Heliograf Pty Limited,0.3163515007142255,,,29094.5,11,0.07718702543567708
Help Save Our Wildlife,0.06603721834769323,,,148.5,3,0.06603721834769323
Henricus Theodorus Van De Ven,0.5854759507304553,,,347.5,5,0.4186510043145889
Henry Parkes Foundation,0.2062765796107473,,,148.5,3,0.2062765796107473
Henry Paul Photography,0.7917275533566647,,,99.0,2,0.7917275533566647
Henry R Durieu,0.9662495303952838,,,198.0,4,0.9662495303952839
Henry Thomas Clarke,0.12584227141833898,,,99.0,2,0.12584227141833898
Home to Bilo,,0.7499705492666012,,5643.5,13,0.8050525871553641
Hon Vincent Tarzia MP - State Member for Hartley,0.513035870960377,,,2145.5,9,0.6717565547181572
